seqnames,start,end
chr1,3381999,3382100
chr1,3384799,3384900
chr1,3388799,3388900
chr1,3389699,3389800
chr1,3391699,3391800
chr1,3394599,3394700
chr1,3396599,3396700
chr1,3403899,3404000
chr1,3404499,3404600
chr1,3410699,3411000
chr1,3411499,3412300
chr1,3425499,3425800
chr1,3460099,3460200
chr1,3501799,3502000
chr1,3516399,3516700
chr1,3529599,3530100
chr1,3538199,3538900
chr1,3547199,3547500
chr1,3548999,3549100
chr1,3566599,3566700
chr1,3587499,3587600
chr1,3597499,3598400
chr1,3611999,3612100
chr1,3650699,3651900
chr1,3653299,3653400
chr1,3677199,3677300
chr1,3678299,3678700
chr1,3695099,3695200
chr1,3703999,3704300
chr1,3781099,3781200
chr1,3880799,3880900
chr1,3890299,3890600
chr1,3915799,3915900
chr1,3932999,3933100
chr1,3942799,3943300
chr1,3946299,3946400
chr1,3954899,3955500
chr1,3956599,3956700
chr1,3973699,3973800
chr1,3975999,3976500
chr1,3977399,3977700
chr1,3978499,3978600
chr1,3982899,3983000
chr1,3986499,3986600
chr1,3987099,3987200
chr1,3995499,3995800
chr1,3999299,3999400
chr1,4009499,4009600
chr1,4018999,4019200
chr1,4019699,4019800
chr1,4048399,4048500
chr1,4052099,4052200
chr1,4055599,4055700
chr1,4059899,4060000
chr1,4060699,4060800
chr1,4062299,4062800
chr1,4063299,4063400
chr1,4077199,4077300
chr1,4081899,4082300
chr1,4083399,4083500
chr1,4088699,4089000
chr1,4108399,4108500
chr1,4109199,4109500
chr1,4109899,4110000
chr1,4121499,4122000
chr1,4126199,4126300
chr1,4127499,4128000
chr1,4129799,4130100
chr1,4133099,4133200
chr1,4139799,4139900
chr1,4145699,4145800
chr1,4149599,4149700
chr1,4153399,4153500
chr1,4159299,4159400
chr1,4161299,4161400
chr1,4177899,4178100
chr1,4215099,4215200
chr1,4225199,4225300
chr1,4228299,4228400
chr1,4268599,4268700
chr1,4342599,4342800
chr1,4356599,4356900
chr1,4366299,4366400
chr1,4390399,4390500
chr1,4400699,4400800
chr1,4411799,4411900
chr1,4425999,4426100
chr1,4481699,4481800
chr1,4482799,4483100
chr1,4519199,4519300
chr1,4524199,4524300
chr1,4527899,4528100
chr1,4572699,4572800
chr1,4596999,4597200
chr1,4615199,4615300
chr1,4628499,4628600
chr1,4653899,4654200
chr1,4666099,4666200
chr1,4689099,4689200
chr1,4696499,4696600
chr1,4697799,4697900
chr1,4701099,4701200
chr1,4711999,4712400
chr1,4723299,4723400
chr1,4730299,4730600
chr1,4737499,4737600
chr1,4754699,4754800
chr1,4772599,4772700
chr1,4777499,4777700
chr1,4782399,4782500
chr1,4799499,4799600
chr1,4870599,4870800
chr1,4909899,4910000
chr1,4911499,4911700
chr1,4916399,4916500
chr1,4958999,4959100
chr1,4971399,4971500
chr1,5049699,5049800
chr1,5157599,5157700
chr1,5167599,5167700
chr1,5219699,5219800
chr1,5224299,5224400
chr1,5227699,5227800
chr1,5238799,5238900
chr1,5244999,5245100
chr1,5295599,5295700
chr1,5296099,5296200
chr1,5297099,5297200
chr1,5306599,5306700
chr1,5313099,5313200
chr1,5336999,5337100
chr1,5382199,5382300
chr1,5387999,5388200
chr1,5391299,5391400
chr1,5392299,5392400
chr1,5422599,5422800
chr1,5480099,5480200
chr1,5523899,5524000
chr1,5526199,5526500
chr1,5667699,5668400
chr1,5688599,5688800
chr1,5717799,5718000
chr1,5754899,5755000
chr1,5759499,5759600
chr1,5766799,5767200
chr1,5813599,5813700
chr1,5833799,5833900
chr1,5844799,5844900
chr1,5986199,5986400
chr1,5993599,5993700
chr1,5994699,5994800
chr1,6026199,6026800
chr1,6027199,6029000
chr1,6091099,6091200
chr1,6113299,6113400
chr1,6138499,6138600
chr1,6141999,6142100
chr1,6169199,6169500
chr1,6178599,6178700
chr1,6180599,6181300
chr1,6206399,6206600
chr1,6208699,6209600
chr1,6239899,6240000
chr1,6240699,6240800
chr1,6241299,6242000
chr1,6270199,6270300
chr1,6287599,6287700
chr1,6350599,6350700
chr1,6351899,6352000
chr1,6418699,6419100
chr1,6420099,6420900
chr1,6425099,6425200
chr1,6427799,6427900
chr1,6440799,6440900
chr1,6446999,6447800
chr1,6448199,6449200
chr1,6450399,6450600
chr1,6454299,6454500
chr1,6459999,6460700
chr1,6465499,6466300
chr1,6509399,6509600
chr1,6591299,6591400
chr1,6603399,6604100
chr1,6715299,6715400
chr1,6717399,6717500
chr1,6743299,6743800
chr1,6786699,6786800
chr1,6918599,6918700
chr1,6959399,6959600
chr1,6960399,6960600
chr1,6961899,6962400
chr1,6963399,6963900
chr1,6969299,6969500
chr1,7018899,7019000
chr1,7069999,7070200
chr1,7124299,7124400
chr1,7127499,7127700
chr1,7234499,7234600
chr1,7236199,7236300
chr1,7266199,7266300
chr1,7477399,7477500
chr1,7600999,7601100
chr1,7605399,7605700
chr1,7632199,7632300
chr1,7782299,7782400
chr1,7942399,7942500
chr1,7953899,7954500
chr1,8004899,8005000
chr1,8071299,8071400
chr1,8077399,8077500
chr1,8121099,8121600
chr1,8137899,8138000
chr1,8155699,8155800
chr1,8211899,8212400
chr1,8217099,8217800
chr1,8282299,8282500
chr1,8312999,8313100
chr1,8318499,8318800
chr1,8324599,8324700
chr1,8343499,8344000
chr1,8395199,8395300
chr1,8427799,8427900
chr1,8501599,8501900
chr1,8858799,8858900
chr1,8970899,8971000
chr1,9005199,9005400
chr1,9011099,9011300
chr1,9015799,9015900
chr1,9067399,9067500
chr1,9070499,9070600
chr1,9083399,9083500
chr1,9094199,9094300
chr1,9119899,9120000
chr1,9161999,9162200
chr1,9182999,9183500
chr1,9239699,9240000
chr1,9317899,9318100
chr1,9320699,9320800
chr1,9332799,9333000
chr1,9339099,9339200
chr1,9346799,9346900
chr1,9362399,9362700
chr1,9363099,9363200
chr1,9400099,9400200
chr1,9400699,9400800
chr1,9426399,9426600
chr1,9438199,9438300
chr1,9541399,9541600
chr1,9617099,9617200
chr1,9628499,9628600
chr1,9629299,9630300
chr1,9652699,9653700
chr1,9654199,9654300
chr1,9654699,9654800
chr1,9704699,9705000
chr1,9717499,9717900
chr1,9727299,9727400
chr1,9842899,9843300
chr1,9843699,9843800
chr1,9848199,9848300
chr1,9850699,9850900
chr1,9882399,9882500
chr1,9889599,9889700
chr1,10065399,10065600
chr1,10066799,10066900
chr1,10414599,10415200
chr1,10425799,10425900
chr1,10426999,10427100
chr1,10514299,10514400
chr1,10519399,10519500
chr1,10530499,10530600
chr1,10634499,10634700
chr1,10635599,10636600
chr1,10637599,10637700
chr1,10640499,10640600
chr1,10642499,10642800
chr1,10643699,10644000
chr1,10650799,10650900
chr1,10651899,10652000
chr1,10653699,10653800
chr1,10658399,10658500
chr1,10665999,10666100
chr1,10668499,10668700
chr1,10672399,10672900
chr1,10674399,10674700
chr1,10675299,10675600
chr1,10677099,10677200
chr1,10677799,10678600
chr1,10680199,10680400
chr1,10681699,10681800
chr1,10683599,10683700
chr1,10686399,10686700
chr1,10697799,10698000
chr1,10714599,10714700
chr1,10716499,10716600
chr1,10725099,10725400
chr1,10726299,10726700
chr1,10727999,10728100
chr1,10737299,10737400
chr1,10737999,10738700
chr1,10739199,10739300
chr1,10758899,10759000
chr1,10761799,10761900
chr1,10765499,10765900
chr1,10773299,10773500
chr1,10775099,10775200
chr1,10775699,10775800
chr1,10788599,10788700
chr1,10856499,10856600
chr1,10866199,10866300
chr1,10888399,10888900
chr1,10898499,10898700
chr1,10904899,10905100
chr1,10905899,10906000
chr1,10916399,10916500
chr1,10940099,10940400
chr1,10965699,10965900
chr1,10968699,10968800
chr1,11013599,11013700
chr1,11058799,11058900
chr1,11339799,11339900
chr1,11350299,11350600
chr1,11421599,11421700
chr1,11448399,11448600
chr1,11455499,11455700
chr1,11569799,11569900
chr1,11692099,11692700
chr1,11729899,11730200
chr1,11802999,11803400
chr1,11841399,11841500
chr1,11842099,11842200
chr1,11842799,11843000
chr1,11886499,11886600
chr1,12034799,12034900
chr1,12063399,12063800
chr1,12067899,12068000
chr1,12088199,12088900
chr1,12123699,12123800
chr1,12142899,12143000
chr1,12143599,12143700
chr1,12167299,12168000
chr1,12168699,12168900
chr1,12172099,12172300
chr1,12179199,12179500
chr1,12185599,12185700
chr1,12188799,12188900
chr1,12194799,12194900
chr1,12210799,12210900
chr1,12344899,12345000
chr1,12473299,12473500
chr1,12510499,12510600
chr1,12518999,12519100
chr1,12527799,12527900
chr1,12619199,12619400
chr1,12622099,12622200
chr1,12874099,12874200
chr1,13369199,13369400
chr1,13420899,13421000
chr1,13423799,13423900
chr1,13487499,13487600
chr1,13512999,13513100
chr1,13576699,13576800
chr1,13578499,13578600
chr1,13583099,13583200
chr1,13583599,13584500
chr1,13615999,13616100
chr1,13730999,13731200
chr1,13813699,13813800
chr1,13892299,13892400
chr1,14140899,14141000
chr1,14420399,14420500
chr1,14599799,14599900
chr1,14625999,14626100
chr1,14660799,14661000
chr1,14826499,14826600
chr1,14852399,14852500
chr1,14980599,14980800
chr1,15090499,15090600
chr1,15112399,15112700
chr1,15135799,15136000
chr1,15137999,15138100
chr1,15154299,15155000
chr1,15177799,15178000
chr1,15224499,15224600
chr1,15261299,15261600
chr1,15345399,15345500
chr1,15345999,15346200
chr1,15370999,15371100
chr1,15371699,15371800
chr1,15386199,15386400
chr1,15411099,15411200
chr1,15417099,15417600
chr1,15426399,15426500
chr1,15445599,15445700
chr1,15584799,15584900
chr1,15602599,15602700
chr1,15619099,15619400
chr1,15697099,15697300
chr1,15703099,15703200
chr1,15777099,15777200
chr1,15837199,15837600
chr1,15949599,15950000
chr1,15951599,15952000
chr1,15952799,15952900
chr1,16014899,16015100
chr1,16127799,16127900
chr1,16141599,16141900
chr1,16156199,16156300
chr1,16162399,16162800
chr1,16168999,16169100
chr1,16173199,16173400
chr1,16179199,16179300
chr1,16212499,16212600
chr1,16227199,16228500
chr1,16248199,16248300
chr1,16278799,16279100
chr1,16483299,16483400
chr1,16484299,16484400
chr1,16520699,16521100
chr1,16535099,16535400
chr1,16624099,16624500
chr1,16647499,16648200
chr1,16674899,16675000
chr1,16697899,16698000
chr1,16759299,16759900
chr1,16765899,16766500
chr1,16872599,16873200
chr1,16889099,16890000
chr1,16912899,16913000
chr1,16921899,16922100
chr1,16948499,16948700
chr1,16955299,16955400
chr1,16957799,16958000
chr1,16978799,16979000
chr1,16979899,16980800
chr1,17014099,17014300
chr1,17118799,17119000
chr1,17119899,17120100
chr1,17185399,17185500
chr1,17281699,17281800
chr1,17308099,17308300
chr1,17355999,17356100
chr1,17356799,17356900
chr1,17431599,17431800
chr1,17440799,17440900
chr1,17460199,17460300
chr1,17460799,17460900
chr1,17509699,17509800
chr1,17539299,17539400
chr1,17540899,17541000
chr1,17569699,17569900
chr1,17603499,17603600
chr1,17618299,17618500
chr1,17671999,17672100
chr1,17691299,17691500
chr1,17730999,17731100
chr1,17925699,17925800
chr1,18110599,18111700
chr1,18155799,18156100
chr1,18178199,18178300
chr1,18196999,18197100
chr1,18230899,18231000
chr1,18294699,18295000
chr1,18385599,18385700
chr1,18407299,18407400
chr1,18542599,18542700
chr1,18629599,18633400
chr1,18634399,18634600
chr1,18636199,18636600
chr1,18637399,18638000
chr1,18645099,18645600
chr1,18645999,18646300
chr1,18670599,18670700
chr1,18716799,18717400
chr1,18723999,18724200
chr1,18725399,18725500
chr1,18730699,18730800
chr1,18739699,18739800
chr1,18907999,18908700
chr1,18909199,18909300
chr1,18923999,18924200
chr1,18926499,18927300
chr1,18927999,18928400
chr1,18949599,18951100
chr1,18952199,18952300
chr1,18957199,18957400
chr1,19010999,19011100
chr1,19055199,19055400
chr1,19075599,19075700
chr1,19081499,19081900
chr1,19274399,19274500
chr1,19288799,19289200
chr1,19314299,19314400
chr1,19316099,19316200
chr1,19322599,19322700
chr1,19353799,19353900
chr1,19367599,19367700
chr1,19369599,19369700
chr1,19406299,19406400
chr1,19448999,19449100
chr1,19454999,19455100
chr1,19476599,19476700
chr1,19477499,19477700
chr1,19514999,19515100
chr1,19647799,19648000
chr1,19665599,19666000
chr1,19769899,19770000
chr1,19776199,19776300
chr1,19881899,19882000
chr1,19984799,19984900
chr1,20080899,20081500
chr1,20166299,20166400
chr1,20185599,20186500
chr1,20290799,20291000
chr1,20291599,20292000
chr1,20343399,20343500
chr1,20343999,20344300
chr1,20365999,20366500
chr1,20405999,20406100
chr1,20473199,20473600
chr1,20483999,20484300
chr1,20486899,20487100
chr1,20551999,20552100
chr1,20553599,20554000
chr1,20589399,20590000
chr1,20597299,20597500
chr1,20675399,20675500
chr1,20682699,20682800
chr1,20730099,20730400
chr1,20731399,20731800
chr1,20928599,20928700
chr1,20949999,20950100
chr1,21020199,21020300
chr1,21091299,21091400
chr1,21123999,21124200
chr1,21183299,21183400
chr1,21261799,21262200
chr1,21293599,21293700
chr1,21319799,21319900
chr1,21322799,21322900
chr1,21325299,21325400
chr1,21325899,21326000
chr1,21363899,21364000
chr1,21398099,21398200
chr1,21427899,21428400
chr1,21508799,21508900
chr1,21509699,21509900
chr1,21524699,21525300
chr1,21538299,21538500
chr1,21546199,21546300
chr1,21550099,21550200
chr1,21574699,21574800
chr1,21590199,21590500
chr1,21590999,21591100
chr1,21616499,21616600
chr1,21624699,21624800
chr1,21639699,21639800
chr1,21648099,21648200
chr1,21669699,21669900
chr1,21771699,21771900
chr1,21810599,21810700
chr1,21814299,21814700
chr1,21823699,21824100
chr1,21857299,21857400
chr1,21857899,21858200
chr1,21899999,21900200
chr1,21902199,21902300
chr1,21906199,21906300
chr1,21909999,21910100
chr1,21939999,21940100
chr1,22024599,22025000
chr1,22134199,22134300
chr1,22222599,22222700
chr1,22252299,22252400
chr1,22257799,22258100
chr1,22259699,22259800
chr1,22318499,22318800
chr1,22351299,22352000
chr1,22539799,22539900
chr1,22564199,22564400
chr1,22626499,22626800
chr1,22713799,22713900
chr1,22751199,22751300
chr1,22814699,22814800
chr1,22846599,22846800
chr1,22885199,22885500
chr1,22915899,22916000
chr1,22953799,22953900
chr1,23119899,23120000
chr1,23554199,23554400
chr1,23568399,23568600
chr1,23591699,23591800
chr1,23794199,23794300
chr1,23897299,23897400
chr1,23908999,23909100
chr1,23994299,23994400
chr1,24248099,24248200
chr1,24321699,24323100
chr1,24343899,24344000
chr1,24347099,24347200
chr1,24472599,24472700
chr1,24498799,24498900
chr1,24572499,24572900
chr1,24641499,24641700
chr1,24727199,24727300
chr1,24733199,24733600
chr1,24848699,24848900
chr1,24870999,24871200
chr1,24871999,24872200
chr1,24915999,24916100
chr1,24928399,24930700
chr1,24957099,24957300
chr1,24965199,24965300
chr1,24997699,24997800
chr1,25020499,25020600
chr1,25022399,25022600
chr1,25022999,25023100
chr1,25028899,25029100
chr1,25033899,25034400
chr1,25053899,25054000
chr1,25140399,25140500
chr1,25272499,25272600
chr1,25369899,25370200
chr1,25423399,25423500
chr1,25549599,25549900
chr1,25560099,25560200
chr1,25566699,25567100
chr1,25568899,25569000
chr1,25615999,25616300
chr1,25617799,25617900
chr1,25642799,25643100
chr1,25711499,25711800
chr1,25737399,25737500
chr1,25754799,25755200
chr1,25756699,25756800
chr1,25765899,25766000
chr1,25809699,25809800
chr1,25860199,25860500
chr1,25861699,25861800
chr1,25875799,25876100
chr1,25922499,25922700
chr1,25990799,25990900
chr1,26053999,26054200
chr1,26224999,26225700
chr1,26284799,26285000
chr1,26286899,26287400
chr1,26287899,26288000
chr1,26289099,26289800
chr1,26290399,26290500
chr1,26319399,26319900
chr1,26353999,26354300
chr1,26359999,26360800
chr1,26375299,26375400
chr1,26468999,26469100
chr1,26531999,26532100
chr1,26539799,26539900
chr1,26541399,26541500
chr1,26542299,26542900
chr1,26545799,26546100
chr1,26833499,26833800
chr1,26863099,26863200
chr1,27012299,27013000
chr1,27098599,27098700
chr1,27132799,27132900
chr1,27137099,27137400
chr1,27299999,27300100
chr1,27357499,27357600
chr1,27360399,27360800
chr1,27369199,27370100
chr1,27403299,27403900
chr1,27404999,27405100
chr1,27422299,27422400
chr1,27428699,27428900
chr1,27429599,27429700
chr1,27430499,27430600
chr1,27521399,27521700
chr1,27525399,27525600
chr1,27526199,27526500
chr1,27618899,27619100
chr1,27631899,27632600
chr1,27634199,27635400
chr1,27636299,27636500
chr1,27659499,27659600
chr1,27867299,27867400
chr1,27872499,27874000
chr1,27885299,27885400
chr1,28174899,28175000
chr1,28176799,28176900
chr1,28197299,28197400
chr1,28199399,28199600
chr1,28314999,28315100
chr1,28582799,28583100
chr1,28592099,28593000
chr1,28733699,28733800
chr1,28875299,28875500
chr1,28883799,28884200
chr1,29122499,29123600
chr1,29196099,29196200
chr1,29238599,29238800
chr1,29259299,29259400
chr1,29260399,29260600
chr1,29478199,29478300
chr1,29478699,29478800
chr1,29488099,29488300
chr1,29550699,29550800
chr1,29652099,29652200
chr1,29686699,29686800
chr1,29689599,29689700
chr1,29690199,29690300
chr1,29697199,29697300
chr1,29828599,29828700
chr1,29960999,29961100
chr1,29964799,29964900
chr1,30034399,30034500
chr1,30085299,30085400
chr1,30089199,30089300
chr1,30109999,30110300
chr1,30230199,30230300
chr1,30246499,30246600
chr1,30257899,30258000
chr1,30336799,30336900
chr1,30373799,30373900
chr1,30445599,30445700
chr1,30464899,30465000
chr1,30535299,30535400
chr1,30585599,30585700
chr1,30642599,30642700
chr1,30657999,30658100
chr1,30664399,30664900
chr1,30730399,30730500
chr1,30745599,30745700
chr1,30750999,30751100
chr1,30753699,30754000
chr1,30754699,30754800
chr1,30757099,30757800
chr1,30758499,30758600
chr1,30760799,30761100
chr1,30769199,30769400
chr1,30797599,30797700
chr1,30847599,30847800
chr1,30868999,30869300
chr1,30885499,30885600
chr1,30907499,30908000
chr1,31062299,31062400
chr1,31176599,31176700
chr1,31181599,31182100
chr1,31208699,31208800
chr1,31214899,31215100
chr1,31372999,31373900
chr1,31423699,31423800
chr1,31535899,31536200
chr1,31576399,31576600
chr1,31617499,31617700
chr1,31657999,31658100
chr1,31703699,31704200
chr1,31705199,31705400
chr1,31714499,31715200
chr1,31739499,31739700
chr1,31751099,31751200
chr1,31753199,31753400
chr1,31760999,31761100
chr1,31769899,31770000
chr1,31771899,31773100
chr1,31826399,31826600
chr1,31848599,31848700
chr1,31889399,31889500
chr1,31904399,31904500
chr1,31939799,31939900
chr1,31943099,31943200
chr1,31944199,31945400
chr1,31955799,31956000
chr1,32122099,32122200
chr1,32201099,32201600
chr1,32223299,32223400
chr1,32241299,32241600
chr1,32242599,32242700
chr1,32248299,32248600
chr1,32251099,32251300
chr1,32337299,32337400
chr1,32337999,32338100
chr1,32349199,32349300
chr1,32464599,32464700
chr1,32540499,32540600
chr1,32623899,32624000
chr1,32694899,32695000
chr1,32724999,32725200
chr1,32760899,32761100
chr1,32822499,32822600
chr1,32882399,32882500
chr1,32885999,32886100
chr1,32924799,32926300
chr1,32974299,32974400
chr1,32991999,32992100
chr1,32993299,32993500
chr1,33099499,33099800
chr1,33140199,33140300
chr1,33161199,33161600
chr1,33306499,33306800
chr1,33361599,33361700
chr1,33396699,33397000
chr1,33472399,33472800
chr1,34014099,34014300
chr1,34162699,34162900
chr1,34166499,34166600
chr1,34176799,34177500
chr1,34197299,34197400
chr1,34521099,34521200
chr1,34650599,34650700
chr1,34735999,34736200
chr1,34746899,34747000
chr1,34792799,34793300
chr1,34825499,34825600
chr1,34843599,34843700
chr1,34885399,34885500
chr1,34885899,34886300
chr1,34930299,34930400
chr1,35120699,35121200
chr1,35345499,35345600
chr1,35386399,35386500
chr1,35412099,35412200
chr1,35563299,35563500
chr1,35576599,35578500
chr1,35643099,35643200
chr1,35707299,35707600
chr1,35708299,35708500
chr1,35800599,35800700
chr1,36083999,36084200
chr1,36123099,36123700
chr1,36135399,36135500
chr1,36178999,36179100
chr1,36296599,36296700
chr1,36320599,36321900
chr1,36322599,36323100
chr1,36324199,36324700
chr1,36338999,36339100
chr1,36350699,36351100
chr1,36371399,36371800
chr1,36378499,36378800
chr1,36401099,36401500
chr1,36457899,36458400
chr1,36482299,36482400
chr1,36482799,36483100
chr1,36612299,36612400
chr1,36626199,36626300
chr1,36728399,36728500
chr1,36825699,36825800
chr1,36841699,36841800
chr1,36880599,36880800
chr1,36909499,36909600
chr1,36946599,36946700
chr1,36956399,36956500
chr1,36958099,36958200
chr1,36960299,36960400
chr1,36975499,36975600
chr1,36981899,36982000
chr1,36988399,36989000
chr1,37032999,37034300
chr1,37034999,37035200
chr1,37080699,37080800
chr1,37247099,37247200
chr1,37294999,37295100
chr1,37296499,37296600
chr1,37318499,37318600
chr1,37455199,37455300
chr1,37471699,37471800
chr1,37475599,37475700
chr1,37634099,37634200
chr1,37735299,37735600
chr1,37753999,37754400
chr1,37922599,37922700
chr1,37946099,37946200
chr1,37946999,37947100
chr1,38002099,38002200
chr1,38004799,38004900
chr1,38006199,38006300
chr1,38030099,38030300
chr1,38044199,38045200
chr1,38068299,38068400
chr1,38133899,38134700
chr1,38136199,38136400
chr1,38213599,38214000
chr1,38291999,38292500
chr1,38475199,38475300
chr1,38476199,38476700
chr1,38513099,38513200
chr1,38559199,38559900
chr1,38578699,38578900
chr1,38608399,38608500
chr1,38727799,38727900
chr1,38728299,38728600
chr1,38804599,38804800
chr1,38815899,38816600
chr1,38817999,38818200
chr1,38858699,38858800
chr1,38941599,38941900
chr1,38951399,38951500
chr1,39080999,39081100
chr1,39215299,39215500
chr1,39508899,39509000
chr1,39509499,39509800
chr1,39512699,39512900
chr1,39514999,39515100
chr1,39515599,39515800
chr1,39609599,39610100
chr1,39639299,39640100
chr1,39671199,39671400
chr1,39672299,39672500
chr1,39683699,39684100
chr1,39692399,39692800
chr1,39770299,39770700
chr1,39771199,39771500
chr1,39776499,39776600
chr1,39779199,39779300
chr1,39789299,39789500
chr1,39799399,39799500
chr1,39954499,39954900
chr1,39960099,39960400
chr1,40082099,40082200
chr1,40312599,40312700
chr1,40315199,40316300
chr1,40421399,40421600
chr1,40450899,40451100
chr1,40477299,40477800
chr1,40590699,40590800
chr1,40699099,40699200
chr1,40770399,40770500
chr1,40802199,40802800
chr1,40809499,40809600
chr1,40817999,40819000
chr1,40840299,40840400
chr1,40861099,40861700
chr1,40883899,40884500
chr1,41331299,41331400
chr1,41342099,41342200
chr1,41343999,41344100
