seqnames,start,end,width,strand,annot.seqnames,annot.start,annot.end,annot.width,annot.strand,annot.id,annot.tx_id,annot.gene_id,annot.symbol,annot.type
chr1,3880799,3880900,102,*,chr1,3872573,3883506,10934,+,intron:2272,ENST00000378206.5,1677,DFFB,hg38_genes_introns
chr1,3880799,3880900,102,*,chr1,3872573,3883506,10934,+,intron:2278,ENST00000475969.5,1677,DFFB,hg38_genes_introns
chr1,3880799,3880900,102,*,chr1,3879048,3887925,8878,*,inter:127,NA,NA,NA,hg38_cpg_inter
chr1,10677099,10677200,102,*,chr1,10665572,10693873,28302,-,intron:67716,ENST00000377022.8,54897,CASZ1,hg38_genes_introns
chr1,10677099,10677200,102,*,chr1,10665572,10693873,28302,-,intron:67735,ENST00000344008.5,54897,CASZ1,hg38_genes_introns
chr1,10677099,10677200,102,*,chr1,10665572,10693873,28302,-,intron:67746,ENST00000496432.6,54897,CASZ1,hg38_genes_introns
chr1,10677099,10677200,102,*,chr1,10665572,10693873,28302,-,intron:67750,ENST00000478728.2,54897,CASZ1,hg38_genes_introns
chr1,10677099,10677200,102,*,chr1,10669561,10689715,20155,*,inter:209,NA,NA,NA,hg38_cpg_inter
chr1,19010999,19011100,102,*,chr1,18961390,19205656,244267,*,inter:324,NA,NA,NA,hg38_cpg_inter
chr1,20682699,20682800,102,*,chr1,20682653,20682884,232,-,exon:82152,ENST00000477167.5,57576,KIF17,hg38_genes_exons
chr1,20682699,20682800,102,*,chr1,20682653,20682884,232,-,exon:82161,ENST00000490034.5,57576,KIF17,hg38_genes_exons
chr1,20682699,20682800,102,*,chr1,20682653,20682884,232,-,exon:82176,ENST00000375044.5,57576,KIF17,hg38_genes_exons
chr1,20682699,20682800,102,*,chr1,20682653,20682884,232,-,exon:82191,ENST00000400463.8,57576,KIF17,hg38_genes_exons
chr1,20682699,20682800,102,*,chr1,20682653,20682884,232,-,exon:82206,ENST00000247986.2,57576,KIF17,hg38_genes_exons
chr1,20682699,20682800,102,*,chr1,20682653,20682884,232,-,exon:82213,ENST00000462858.5,57576,KIF17,hg38_genes_exons
chr1,20682699,20682800,102,*,chr1,20682653,20682884,232,-,exon:82220,ENST00000498225.1,57576,KIF17,hg38_genes_exons
chr1,20682699,20682800,102,*,chr1,20665746,20692445,26700,*,inter:346,NA,NA,NA,hg38_cpg_inter
chr1,21857299,21857400,102,*,chr1,21855657,21859656,4000,-,1to5kb:12266,ENST00000493940.2,3339,HSPG2,hg38_genes_1to5kb
chr1,21857299,21857400,102,*,chr1,21857285,21857385,101,-,exon:83288,ENST00000374695.8,3339,HSPG2,hg38_genes_exons
chr1,21857299,21857400,102,*,chr1,21857386,21859565,2180,-,intron:71042,ENST00000374695.8,3339,HSPG2,hg38_genes_introns
chr1,21857299,21857400,102,*,chr1,21833073,21860855,27783,*,inter:364,NA,NA,NA,hg38_cpg_inter
chr1,24965199,24965300,102,*,chr1,24965011,24966010,1000,-,promoter:12436,ENST00000399916.5,864,RUNX3,hg38_genes_promoters
chr1,24965199,24965300,102,*,chr1,24964985,24965984,1000,-,promoter:12437,ENST00000338888.3,864,RUNX3,hg38_genes_promoters
chr1,24965199,24965300,102,*,chr1,24965122,24966121,1000,-,promoter:12440,ENST00000479341.1,864,RUNX3,hg38_genes_promoters
chr1,24965199,24965300,102,*,chr1,24936515,25228071,291557,*,inter:415,NA,NA,NA,hg38_cpg_inter
chr1,34746899,34747000,102,*,chr1,34718410,34855770,137361,-,intron:75070,ENST00000426886.1,113444,SMIM12,hg38_genes_introns
chr1,34746899,34747000,102,*,chr1,34181424,34757426,576003,*,inter:566,NA,NA,NA,hg38_cpg_inter
chr1,36457899,36458400,502,*,chr1,36457567,36461566,4000,-,1to5kb:13151,ENST00000477040.1,64960,MRPS15,hg38_genes_1to5kb
chr1,36457899,36458400,502,*,chr1,36457923,36457981,59,-,exon:88769,ENST00000373116.6,64960,MRPS15,hg38_genes_exons
chr1,36457899,36458400,502,*,chr1,36457923,36459703,1781,-,exon:88772,ENST00000488606.5,64960,MRPS15,hg38_genes_exons
chr1,36457899,36458400,502,*,chr1,36457923,36459126,1204,-,exon:88778,ENST00000462067.1,64960,MRPS15,hg38_genes_exons
chr1,36457899,36458400,502,*,chr1,36456379,36457922,1544,-,intron:75617,ENST00000373116.6,64960,MRPS15,hg38_genes_introns
chr1,36457899,36458400,502,*,chr1,36457982,36460691,2710,-,intron:75618,ENST00000373116.6,64960,MRPS15,hg38_genes_introns
chr1,36457899,36458400,502,*,chr1,36456379,36457922,1544,-,intron:75624,ENST00000488606.5,64960,MRPS15,hg38_genes_introns
chr1,36457899,36458400,502,*,chr1,36456379,36457922,1544,-,intron:75627,ENST00000462067.1,64960,MRPS15,hg38_genes_introns
chr1,36457899,36458400,502,*,chr1,36454724,36459812,5089,*,inter:597,NA,NA,NA,hg38_cpg_inter
chr1,43285499,43285800,302,*,chr1,43285582,43286581,1000,-,promoter:13551,ENST00000523677.6,149466,C1orf210,hg38_genes_promoters
chr1,43285499,43285800,302,*,chr1,43285618,43286617,1000,-,promoter:13552,ENST00000423420.1,149466,C1orf210,hg38_genes_promoters
chr1,43285499,43285800,302,*,chr1,43285444,43285581,138,-,5UTR:9357,ENST00000523677.6,149466,C1orf210,hg38_genes_5UTRs
chr1,43285499,43285800,302,*,chr1,43285553,43285617,65,-,5UTR:9359,ENST00000423420.1,149466,C1orf210,hg38_genes_5UTRs
chr1,43285499,43285800,302,*,chr1,43285444,43285581,138,-,exon:91303,ENST00000523677.6,149466,C1orf210,hg38_genes_exons
chr1,43285499,43285800,302,*,chr1,43285553,43285617,65,-,exon:91306,ENST00000423420.1,149466,C1orf210,hg38_genes_exons
chr1,43285499,43285800,302,*,chr1,43283369,43285552,2184,-,intron:77756,ENST00000423420.1,149466,C1orf210,hg38_genes_introns
chr1,43285499,43285800,302,*,chr1,43277159,43300850,23692,*,inter:687,NA,NA,NA,hg38_cpg_inter
chr1,44777699,44777800,102,*,chr1,44776843,44777842,1000,+,promoter:3196,ENST00000365161.1,94162,SNORD38A,hg38_genes_promoters
chr1,44777699,44777800,102,*,chr1,44776903,44777902,1000,+,promoter:3197,ENST00000474582.1,6202,RPS8,hg38_genes_promoters
chr1,44777699,44777800,102,*,chr1,44777390,44778389,1000,+,promoter:3198,ENST00000384690.1,94163,SNORD38B,hg38_genes_promoters
chr1,44777699,44777800,102,*,chr1,44777390,44778389,1000,+,promoter:3199,ENST00000625943.1,94163,SNORD38B,hg38_genes_promoters
chr1,44777699,44777800,102,*,chr1,44776811,44780810,4000,-,1to5kb:13649,ENST00000428791.1,NA,NA,hg38_genes_1to5kb
chr1,44777699,44777800,102,*,chr1,44777614,44777789,176,+,exon:21678,ENST00000497035.5,6202,RPS8,hg38_genes_exons
chr1,44777699,44777800,102,*,chr1,44777614,44777789,176,+,exon:21683,ENST00000396651.8,6202,RPS8,hg38_genes_exons
chr1,44777699,44777800,102,*,chr1,44777614,44777789,176,+,exon:21689,ENST00000372209.3,6202,RPS8,hg38_genes_exons
chr1,44777699,44777800,102,*,chr1,44777614,44777789,176,+,exon:21697,ENST00000485390.5,6202,RPS8,hg38_genes_exons
chr1,44777699,44777800,102,*,chr1,44777226,44777789,564,+,exon:21702,ENST00000464658.1,6202,RPS8,hg38_genes_exons
chr1,44777699,44777800,102,*,chr1,44777550,44777737,188,+,exon:21705,ENST00000484599.1,6202,RPS8,hg38_genes_exons
chr1,44777699,44777800,102,*,chr1,44777790,44777999,210,+,intron:18492,ENST00000497035.5,6202,RPS8,hg38_genes_introns
chr1,44777699,44777800,102,*,chr1,44777790,44777999,210,+,intron:18496,ENST00000396651.8,6202,RPS8,hg38_genes_introns
chr1,44777699,44777800,102,*,chr1,44777790,44777999,210,+,intron:18501,ENST00000372209.3,6202,RPS8,hg38_genes_introns
chr1,44777699,44777800,102,*,chr1,44777790,44777999,210,+,intron:18507,ENST00000485390.5,6202,RPS8,hg38_genes_introns
chr1,44777699,44777800,102,*,chr1,44777790,44777999,210,+,intron:18509,ENST00000464658.1,6202,RPS8,hg38_genes_introns
chr1,44777699,44777800,102,*,chr1,44777738,44777999,262,+,intron:18511,ENST00000484599.1,6202,RPS8,hg38_genes_introns
chr1,44777699,44777800,102,*,chr1,44776229,44778228,2000,*,shore:1883,NA,NA,NA,hg38_cpg_shores
chr1,45533199,45533300,102,*,chr1,45519055,45542676,23622,-,intron:78822,ENST00000676549.1,5052,PRDX1,hg38_genes_introns
chr1,45533199,45533300,102,*,chr1,45526132,45546730,20599,*,inter:725,NA,NA,NA,hg38_cpg_inter
chr1,88892899,88893000,102,*,chr1,88891945,88892944,1000,-,promoter:15106,ENST00000471471.1,2959,GTF2B,hg38_genes_promoters
chr1,88892899,88893000,102,*,chr1,88892568,88896567,4000,-,1to5kb:15100,ENST00000370500.10,2959,GTF2B,hg38_genes_1to5kb
chr1,88892899,88893000,102,*,chr1,88892497,88896496,4000,-,1to5kb:15101,ENST00000448623.5,2959,GTF2B,hg38_genes_1to5kb
chr1,88892899,88893000,102,*,chr1,88892528,88896527,4000,-,1to5kb:15102,ENST00000494819.5,2959,GTF2B,hg38_genes_1to5kb
chr1,88892899,88893000,102,*,chr1,88892590,88896589,4000,-,1to5kb:15103,ENST00000418217.1,2959,GTF2B,hg38_genes_1to5kb
chr1,88892899,88893000,102,*,chr1,88892646,88896645,4000,-,1to5kb:15104,ENST00000486078.1,2959,GTF2B,hg38_genes_1to5kb
chr1,88892899,88893000,102,*,chr1,88889049,88893048,4000,-,1to5kb:15105,ENST00000471296.5,2959,GTF2B,hg38_genes_1to5kb
chr1,88892899,88893000,102,*,chr1,88892945,88896944,4000,-,1to5kb:15106,ENST00000471471.1,2959,GTF2B,hg38_genes_1to5kb
chr1,88892899,88893000,102,*,chr1,88891709,88893708,2000,*,shore:2384,NA,NA,NA,hg38_cpg_shores
chr1,90711799,90712700,902,*,chr1,90711539,90712624,1086,-,exon:101960,ENST00000370445.5,343472,BARHL2,hg38_genes_exons
chr1,90711799,90712700,902,*,chr1,90712625,90714530,1906,-,intron:86783,ENST00000370445.5,343472,BARHL2,hg38_genes_introns
chr1,90711799,90712700,902,*,chr1,90711539,90712311,773,-,3UTR:12622,ENST00000370445.5,343472,BARHL2,hg38_genes_3UTRs
chr1,90711799,90712700,902,*,chr1,90711145,90713144,2000,*,shore:2401,NA,NA,NA,hg38_cpg_shores
chr1,120701299,120701400,102,*,chr1,120701290,120702289,1000,-,promoter:16215,ENST00000612480.2,100996724,PDE4DIPP2,hg38_genes_promoters
chr1,120701299,120701400,102,*,chr1,120701273,120703272,2000,*,shore:2790,NA,NA,NA,hg38_cpg_shores
chr1,147204399,147205000,602,*,chr1,147204933,147205932,1000,-,promoter:16403,ENST00000413611.2,NA,NA,hg38_genes_promoters
chr1,147204399,147205000,602,*,chr1,147203276,147204932,1657,-,exon:109745,ENST00000413611.2,NA,NA,hg38_genes_exons
chr1,147204399,147205000,602,*,chr1,147174586,147259836,85251,+,intron:35557,ENST00000651151.1,9557,CHD1L,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147174586,147252622,78037,+,intron:35571,ENST00000606856.1,9557,CHD1L,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147174586,147252622,78037,+,intron:35573,ENST00000650785.1,9557,CHD1L,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147174586,147209621,35036,+,intron:35594,ENST00000606757.1,9557,CHD1L,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147201344,147208851,7508,-,intron:93307,ENST00000527849.5,2330,FMO5,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147201505,147208851,7347,-,intron:93315,ENST00000441068.6,2330,FMO5,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147201505,147208851,7347,-,intron:93323,ENST00000578284.5,2330,FMO5,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147190250,147208851,18602,-,intron:93330,ENST00000369272.7,2330,FMO5,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147201505,147208851,7347,-,intron:93337,ENST00000254090.9,2330,FMO5,hg38_genes_introns
chr1,147204399,147205000,602,*,chr1,147182274,147238438,56165,*,inter:1188,NA,NA,NA,hg38_cpg_inter
chr1,149916599,149917000,402,*,chr1,149914188,149917738,3551,-,intron:94234,ENST00000369146.8,9900,SV2A,hg38_genes_introns
chr1,149916599,149917000,402,*,chr1,149914188,149917738,3551,-,intron:94245,ENST00000369145.1,9900,SV2A,hg38_genes_introns
chr1,149916599,149917000,402,*,chr1,149904394,149923732,19339,*,inter:1230,NA,NA,NA,hg38_cpg_inter
chr1,150159299,150160500,1202,*,chr1,150158405,150159404,1000,+,promoter:6398,ENST00000502767.1,105371433,LOC105371433,hg38_genes_promoters
chr1,150159299,150160500,1202,*,chr1,150158819,150159630,812,+,exon:43785,ENST00000369126.5,51177,PLEKHO1,hg38_genes_exons
chr1,150159299,150160500,1202,*,chr1,150158819,150160065,1247,+,exon:43791,ENST00000369124.5,51177,PLEKHO1,hg38_genes_exons
chr1,150159299,150160500,1202,*,chr1,150158819,150159628,810,+,exon:43802,ENST00000607609.2,51177,PLEKHO1,hg38_genes_exons
chr1,150159299,150160500,1202,*,chr1,150158819,150159324,506,+,exon:43807,ENST00000441340.1,51177,PLEKHO1,hg38_genes_exons
chr1,150159299,150160500,1202,*,chr1,150159405,150159497,93,+,exon:43810,ENST00000502767.1,105371433,LOC105371433,hg38_genes_exons
chr1,150159299,150160500,1202,*,chr1,150159498,150164195,4698,+,intron:37413,ENST00000502767.1,105371433,LOC105371433,hg38_genes_introns
chr1,150159299,150160500,1202,*,chr1,150159524,150159630,107,+,3UTR:5762,ENST00000369126.5,51177,PLEKHO1,hg38_genes_3UTRs
chr1,150159299,150160500,1202,*,chr1,150159524,150160065,542,+,3UTR:5763,ENST00000369124.5,51177,PLEKHO1,hg38_genes_3UTRs
chr1,150159299,150160500,1202,*,chr1,150154889,150230622,75734,*,inter:1234,NA,NA,NA,hg38_cpg_inter
chr1,150976699,150977500,802,*,chr1,150977249,150981248,4000,+,1to5kb:6488,ENST00000474997.1,8416,ANXA9,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150977292,150981291,4000,+,1to5kb:6489,ENST00000368947.9,8416,ANXA9,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150975844,150979843,4000,-,1to5kb:16677,ENST00000345896.8,29956,CERS2,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150976004,150980003,4000,-,1to5kb:16678,ENST00000271688.10,29956,CERS2,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150975836,150979835,4000,-,1to5kb:16679,ENST00000368954.10,29956,CERS2,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150972936,150976935,4000,-,1to5kb:16681,ENST00000368949.8,29956,CERS2,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150975827,150979826,4000,-,1to5kb:16682,ENST00000361419.9,29956,CERS2,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150975478,150979477,4000,-,1to5kb:16686,ENST00000421609.5,29956,CERS2,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150975436,150979435,4000,-,1to5kb:16687,ENST00000457392.1,29956,CERS2,hg38_genes_1to5kb
chr1,150976699,150977500,802,*,chr1,150975475,150977474,2000,*,shore:3144,NA,NA,NA,hg38_cpg_shores
chr1,150976699,150977500,802,*,chr1,150977475,150979474,2000,*,shelf:2675,NA,NA,NA,hg38_cpg_shelves
chr1,151703199,151704100,902,*,chr1,151700058,151703448,3391,-,exon:112612,ENST00000290583.9,11189,CELF3,hg38_genes_exons
chr1,151703199,151704100,902,*,chr1,151702404,151703448,1045,-,exon:112624,ENST00000290585.8,11189,CELF3,hg38_genes_exons
chr1,151703199,151704100,902,*,chr1,151702405,151703448,1044,-,exon:112634,ENST00000470688.5,11189,CELF3,hg38_genes_exons
chr1,151703199,151704100,902,*,chr1,151702415,151703448,1034,-,exon:112648,ENST00000420342.1,11189,CELF3,hg38_genes_exons
chr1,151703199,151704100,902,*,chr1,151701139,151708113,6975,+,intron:38576,ENST00000457548.1,NA,NA,hg38_genes_introns
chr1,151703199,151704100,902,*,chr1,151703449,151705030,1582,-,intron:95790,ENST00000290583.9,11189,CELF3,hg38_genes_introns
chr1,151703199,151704100,902,*,chr1,151703449,151705030,1582,-,intron:95802,ENST00000290585.8,11189,CELF3,hg38_genes_introns
chr1,151703199,151704100,902,*,chr1,151703449,151705030,1582,-,intron:95813,ENST00000470688.5,11189,CELF3,hg38_genes_introns
chr1,151703199,151704100,902,*,chr1,151703449,151705030,1582,-,intron:95822,ENST00000420342.1,11189,CELF3,hg38_genes_introns
chr1,151703199,151704100,902,*,chr1,151700058,151703448,3391,-,3UTR:13635,ENST00000290583.9,11189,CELF3,hg38_genes_3UTRs
chr1,151703199,151704100,902,*,chr1,151702404,151703448,1045,-,3UTR:13637,ENST00000290585.8,11189,CELF3,hg38_genes_3UTRs
chr1,151703199,151704100,902,*,chr1,151702415,151703448,1034,-,3UTR:13639,ENST00000420342.1,11189,CELF3,hg38_genes_3UTRs
chr1,151703199,151704100,902,*,chr1,151616730,151717514,100785,*,inter:1262,NA,NA,NA,hg38_cpg_inter
chr1,151827899,151828200,302,*,chr1,151827097,151831096,4000,-,1to5kb:16848,ENST00000356728.11,6097,RORC,hg38_genes_1to5kb
chr1,151827899,151828200,302,*,chr1,151827079,151831078,4000,-,1to5kb:16855,ENST00000651025.1,6097,RORC,hg38_genes_1to5kb
chr1,151827899,151828200,302,*,chr1,151817281,151829428,12148,-,intron:96042,ENST00000318247.7,6097,RORC,hg38_genes_introns
chr1,151827899,151828200,302,*,chr1,151817281,151829428,12148,-,intron:96052,ENST00000651814.1,6097,RORC,hg38_genes_introns
chr1,151827899,151828200,302,*,chr1,151817281,151829428,12148,-,intron:96067,ENST00000638901.1,6097,RORC,hg38_genes_introns
chr1,151827899,151828200,302,*,chr1,151816806,151829428,12623,-,intron:96073,ENST00000652040.1,6097,RORC,hg38_genes_introns
chr1,151827899,151828200,302,*,chr1,151795532,151833983,38452,*,inter:1265,NA,NA,NA,hg38_cpg_inter
chr1,153533199,153533800,602,*,chr1,153532603,153533602,1000,+,promoter:6705,ENST00000420695.1,NA,NA,hg38_genes_promoters
chr1,153533199,153533800,602,*,chr1,153533603,153533921,319,+,exon:45486,ENST00000420695.1,NA,NA,hg38_genes_exons
chr1,153533199,153533800,602,*,chr1,153531948,153533947,2000,*,shelf:2732,NA,NA,NA,hg38_cpg_shelves
chr1,153551299,153551400,102,*,chr1,153551137,153555136,4000,-,1to5kb:16930,ENST00000368714.1,6275,S100A4,hg38_genes_1to5kb
chr1,153551299,153551400,102,*,chr1,153550259,153554258,4000,-,1to5kb:16931,ENST00000368713.8,6274,S100A3,hg38_genes_1to5kb
chr1,153551299,153551400,102,*,chr1,153550127,153554126,4000,-,1to5kb:16932,ENST00000368712.1,6274,S100A3,hg38_genes_1to5kb
chr1,153551299,153551400,102,*,chr1,153540365,153629700,89336,*,inter:1275,NA,NA,NA,hg38_cpg_inter
chr1,156377199,156377400,202,*,chr1,156377143,156381142,4000,+,1to5kb:7179,ENST00000494874.1,57127,RHBG,hg38_genes_1to5kb
chr1,156377199,156377400,202,*,chr1,156377313,156381312,4000,+,1to5kb:7180,ENST00000622297.1,57127,RHBG,hg38_genes_1to5kb
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,exon:48678,ENST00000537040.6,57127,RHBG,hg38_genes_exons
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,exon:48691,ENST00000451864.6,57127,RHBG,hg38_genes_exons
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,exon:48700,ENST00000612897.4,57127,RHBG,hg38_genes_exons
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,exon:48711,ENST00000613460.4,57127,RHBG,hg38_genes_exons
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,exon:48722,ENST00000618120.4,57127,RHBG,hg38_genes_exons
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,exon:48732,ENST00000620376.4,57127,RHBG,hg38_genes_exons
chr1,156377199,156377400,202,*,chr1,156369437,156377300,7864,+,intron:41506,ENST00000537040.6,57127,RHBG,hg38_genes_introns
chr1,156377199,156377400,202,*,chr1,156374730,156377300,2571,+,intron:41517,ENST00000451864.6,57127,RHBG,hg38_genes_introns
chr1,156377199,156377400,202,*,chr1,156371255,156377300,6046,+,intron:41525,ENST00000612897.4,57127,RHBG,hg38_genes_introns
chr1,156377199,156377400,202,*,chr1,156374730,156377300,2571,+,intron:41535,ENST00000613460.4,57127,RHBG,hg38_genes_introns
chr1,156377199,156377400,202,*,chr1,156374730,156377300,2571,+,intron:41545,ENST00000618120.4,57127,RHBG,hg38_genes_introns
chr1,156377199,156377400,202,*,chr1,156374730,156377300,2571,+,intron:41554,ENST00000620376.4,57127,RHBG,hg38_genes_introns
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,3UTR:6318,ENST00000451864.6,57127,RHBG,hg38_genes_3UTRs
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,3UTR:6334,ENST00000613460.4,57127,RHBG,hg38_genes_3UTRs
chr1,156377199,156377400,202,*,chr1,156377301,156377487,187,+,3UTR:6344,ENST00000620376.4,57127,RHBG,hg38_genes_3UTRs
chr1,156377199,156377400,202,*,chr1,156373461,156384257,10797,*,inter:1334,NA,NA,NA,hg38_cpg_inter
chr1,180213599,180213700,102,*,chr1,180159450,180224983,65534,*,inter:1483,NA,NA,NA,hg38_cpg_inter
chr1,180926599,180926900,302,*,chr1,180923147,180927146,4000,+,1to5kb:8378,ENST00000367587.1,57710,KIAA1614,hg38_genes_1to5kb
chr1,180926599,180926900,302,*,chr1,180923455,180927454,4000,+,1to5kb:8379,ENST00000483705.6,57710,KIAA1614,hg38_genes_1to5kb
chr1,180926599,180926900,302,*,chr1,180917915,180928429,10515,+,intron:48143,ENST00000367588.9,57710,KIAA1614,hg38_genes_introns
chr1,180926599,180926900,302,*,chr1,180917284,180931179,13896,*,inter:1487,NA,NA,NA,hg38_cpg_inter
chr1,182699899,182700200,302,*,chr1,182619411,182785259,165849,*,inter:1501,NA,NA,NA,hg38_cpg_inter
chr1,200240699,200241000,302,*,chr1,200152077,200298147,146071,*,inter:1532,NA,NA,NA,hg38_cpg_inter
chr1,202642199,202642300,102,*,chr1,202605790,202643277,37488,-,intron:107664,ENST00000367267.5,127833,SYT2,hg38_genes_introns
chr1,202642199,202642300,102,*,chr1,202605790,202710257,104468,-,intron:107672,ENST00000367268.5,127833,SYT2,hg38_genes_introns
chr1,202642199,202642300,102,*,chr1,202640540,202642539,2000,*,shore:3867,NA,NA,NA,hg38_cpg_shores
chr1,204357599,204357900,302,*,chr1,204274810,204359693,84884,-,intron:108442,ENST00000272203.8,22874,PLEKHA6,hg38_genes_introns
chr1,204357599,204357900,302,*,chr1,204274810,204359693,84884,-,intron:108490,ENST00000414478.1,22874,PLEKHA6,hg38_genes_introns
chr1,204357599,204357900,302,*,chr1,204274810,204367798,92989,-,intron:108500,ENST00000564627.2,22874,PLEKHA6,hg38_genes_introns
chr1,204357599,204357900,302,*,chr1,204261781,204373603,111823,*,inter:1585,NA,NA,NA,hg38_cpg_inter
chr1,206930199,206930700,502,*,chr1,206928522,206930413,1892,-,exon:128488,ENST00000356495.5,5284,PIGR,hg38_genes_exons
chr1,206930199,206930700,502,*,chr1,206930414,206931496,1083,-,intron:109206,ENST00000356495.5,5284,PIGR,hg38_genes_introns
chr1,206930199,206930700,502,*,chr1,206928522,206930317,1796,-,3UTR:15579,ENST00000356495.5,5284,PIGR,hg38_genes_3UTRs
